Title,Anger,Fear,Joy,Love,Sadness,Surprise,Protagonist Roles,Time Period,Dominant Time of Day,Genres
10 Things I Hate About You,0.018575642,0.957570553,0.009982106,0.004230206,0.003005661,0.006635808,Fighter,Past,Daytime,"['Comedy', 'Romance']"
12 and Holding,0.33010754,0.062596276,0.585838079,0.003963812,0.01278172,0.00471259,Detective/Spy,Present,Daytime,['Drama']
12 Monkeys,0.001992648,0.993607521,0.000706525,0.000346717,0.001272773,0.002073826,Realist,Past,Daytime,"['Thriller', 'Drama', 'Sci-Fi']"
12 Years a Slave,0.000450593,0.000239741,0.996851742,0.00108162,0.000502222,0.000874152,Detective/Spy,Past,Daytime,['Drama']
12,0.228461593,0.709980607,0.02829228,0.002344243,0.028417422,0.002503849,Fighter,Past,Daytime,['Comedy']
127 Hours,0.61897254,0.212451965,0.085223459,0.003674811,0.074785873,0.004891384,Realist,Past,Daytime,"['Thriller', 'Adventure', 'Drama']"
1492 Conquest of Paradise,0.020240715,0.003268998,0.957131863,0.007420862,0.010125735,0.001811748,Realist,Past,Daytime,"['Adventure', 'Drama']"
15 Minutes,0.196454123,0.542196453,0.119240187,0.003216262,0.134360343,0.004532671,Fighter,Past,Daytime,"['Thriller', 'Crime', 'Action']"
17 Again,0.409387112,0.159237012,0.402439684,0.004024914,0.020970644,0.003940611,Detective/Spy,Past,Daytime,"['Romance', 'Comedy', 'Drama']"
187,0.493129373,0.251749456,0.217843935,0.003118841,0.028759278,0.005399128,Fighter,Past,Daytime,['Drama']
2001 A Space Odyssey,0.01134846,0.000978826,0.001240166,0.000487033,0.985677004,0.000268584,Realist,Past,Daytime,"['Adventure', 'Sci-Fi']"
2012,0.05040421,0.933262646,0.008066272,0.000650676,0.003915559,0.003700647,Realist,Past,Daytime,"['Action', 'Thriller', 'Drama', 'Adventure', 'Sci-Fi']"
25th Hour,0.015455979,0.01874638,0.002012978,0.000751283,0.962438703,0.000594724,Realist,Present,Daytime,"['Crime', 'Drama']"
28 Days Later,0.577584565,0.157449052,0.226761907,0.003810902,0.012112552,0.022280974,Detective/Spy,Present,Daytime,"['Horror', 'Drama', 'Sci-Fi']"
30 Minutes or Less,0.992480159,0.002773669,0.002616013,0.000491097,0.001318497,0.000320462,Fighter,Past,Daytime,"['Comedy', 'Adventure', 'Action']"
42,0.863979697,0.084798418,0.016178573,0.001344304,0.032645296,0.001053724,Detective/Spy,Past,Daytime,['Drama']
44 Inch Chest,0.007203375,0.004285952,0.002894144,0.000480939,0.984392643,0.000743073,Realist,Past,Daytime,"['Crime', 'Drama']"
48 Hrs.,0.044757463,0.630915403,0.00656553,0.001139137,0.312595993,0.004026411,Detective/Spy,Future,Daytime,"['Thriller', 'Comedy', 'Action']"
50-50,0.878559649,0.101939388,0.01200041,0.00097161,0.005241498,0.001287475,Detective/Spy,Past,Daytime,"['Comedy', 'Drama']"
500 Days of Summer,0.141456485,0.015031484,0.549751401,0.009833272,0.280668259,0.003259096,Child,Past,Daytime,"['Romance', 'Comedy', 'Drama']"
8MM,0.298454046,0.061604306,0.588237643,0.007376509,0.039858595,0.004468906,Comedian,Past,Daytime,['Thriller']
A Few Good Men,0.224793136,0.65654844,0.094049819,0.003994842,0.017482229,0.003131538,Fighter,Present,Daytime,"['Thriller', 'Crime', 'Drama']"
A Most Violent Year,0.700146198,0.280138552,0.003997542,0.000820523,0.01372584,0.001171242,Child,Past,Daytime,"['Crime', 'Drama', 'Action']"
A Prayer Before Dawn,0.934743702,0.037096132,0.014788327,0.002298125,0.010123774,0.00094994,Realist,Past,Daytime,"['Crime', 'Drama']"
A Quiet Place,0.003687911,0.943157315,0.001683253,0.000375614,0.00186638,0.049229525,Realist,Past,Nighttime,"['Horror', 'Drama', 'Sci-Fi']"
A Scanner Darkly,0.598860919,0.383609056,0.008328752,0.002575804,0.003961709,0.002663667,Fighter,Past,Daytime,"['Crime', 'Drama']"
